externalId;title;department;city;country;verdict;basis;divisionsNamed;siteHint;beautyEvidence;pharmaEvidence;pageUrl
"1390502533";"Automation Engineer II";"";"Auburn";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/Auburn-Automation-Engineer-II-AL-36832/1390502533/"
"1259989301";"Automation Technician";"";"Mukwonago";"US";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"CLOSURES+PHARMA";"";"";"https://jobs.aptar.com/job/Mukwonago-Automation-Technician-WI-53149/1259989301/"
"1393426933";"Automation Technician Electronic & Industrialization (m/w/d)";"";"Dortmund";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Dortmund-Automation-Technician-Electronic-&amp;-Industrialization-%28mwd%29-NW-44319/1393426933/"
"1389642833";"Business Unit Controller / Plant controller";"";"Midland";"US";"OUT_PHARMA_ONLY";"division Pharma nommée dans le texte";"PHARMA";"PHARMA";"";"h and homes of millions of patients and consumers around the world. Our innovations nasal drug delivery for emergency medicines, precise fragrance applications, mess-free ketchup dispensing for";"https://jobs.aptar.com/job/Midland-Business-Unit-Controller-Plant-controller-MI-48642/1389642833/"
"1429673633";"CAD Design Engineer (m/w/d) - befristet 2 Jahre";"";"Dortmund";"DE";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Dortmund-CAD-Design-Engineer-%28mwd%29-befristet-2-Jahre-NW-44319/1429673633/"
"1406140133";"Category Manager Indirect";"";"Mukwonago";"US";"OUT_PHARMA_ONLY";"division Pharma nommée dans le texte";"PHARMA";"CLOSURES+PHARMA";"";"h and homes of millions of patients and consumers around the world. Our innovations nasal drug delivery for emergency medicines, precise fragrance applications, mess-free ketchup dispensing for";"https://jobs.aptar.com/job/Mukwonago-Category-Manager-Indirect-WI-53149/1406140133/"
"1399876433";"Cell Team Lead";"";"Lincolnton";"US";"OUT_OTHER_SEGMENT";"division Closures / Food+Beverage nommée";"CLOSURES";"CLOSURES";"";"";"https://jobs.aptar.com/job/Lincolnton-Cell-Team-Lead-NC-28092/1399876433/"
"1423478533";"Chef d'équipe";"";"Verneuil d'Avre et d'Iton";"FR";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"BEAUTY";"";"";"https://jobs.aptar.com/job/Verneuil-d&amp;apos;Avre-et-d&amp;apos;Iton-Chef-d&amp;apos;%C3%A9quipe-27-27130/1423478533/"
"1427923833";"Compensation Analyst";"";"Ceske Budejovice";"CZ";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"";"";"";"https://jobs.aptar.com/job/Ceske-Budejovice-Compensation-Analyst-Jiho-37001/1427923833/"
"1418346033";"Compensation Analyst";"";"San Giovanni Teatino";"IT";"UNDETERMINED";"aucune division nommée — preuves conservées, périmètre non tranché";"";"PHARMA";"";"";"https://jobs.aptar.com/job/San-Giovanni-Teatino-Compensation-Analyst-CH-66020/1418346033/"
