id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtlyf4ye00crqf5ktjngwekz","Cotton On","COTTON_ON","UNKNOWN","cottonon.com","","3","3"
"cmtkdw4401uocnf2bejlcwlch","COUCOT","COUCOT","UNKNOWN","","","0","0"
"cmtkdw44g1uognf2bgy08w25z","COUCOT- L'ARTISAN CRÉATEUR","COUCOT_L_ARTISAN_CREATEUR","UNKNOWN","","","0","0"
"cmtkdw2b81u3bnf2bzkhmrt75","COURREGES DISTRIBUTION","COURREGES_DISTRIBUTION","UNKNOWN","","","0","1"
"cmtkdvyh41t1cnf2bwghkhpg0","COUTURE & RETAIL CAMÉLÉONS RH","COUTURE_AND_RETAIL_CAMELEONS_RH","UNKNOWN","","","1","1"
"cmtlyenya000zqf5k2brvb2pd","Cove","COVE","UNKNOWN","","","1","1"
"cmtpj2jho15bvpf5l0grcvf65","CPK Swatch Group","CPK_SWATCH_GROUP","UNKNOWN","swatchgroup.com","","1","1"
"cmtkdvupo1rshnf2b5mz54rmt","CREATIONS FUSALP","CREATIONS_FUSALP","UNKNOWN","fusalp.com","","2","2"
"cmtm7ezsb0xitpv5jwefmjxlg","Crocs","CROCS","UNKNOWN","crocs.com","","512","534"
"cmtp868zy3rofqq4zrmuqlmk5","CROSSMODE PARIS","CROSSMODE_PARIS","UNKNOWN","","","1","1"
"cmtnac1pp2sllqq5llqla2dqa","CTZAR","CTZAR","UNKNOWN","","","0","1"
"cmtlyeo5b0014qf5kj093s97h","Cuyana","CUYANA","UNKNOWN","cuyana.com","","1","1"
"cmtlyeoft0019qf5ksb60zdxo","Cynthia Rowley","CYNTHIA_ROWLEY","UNKNOWN","cynthiarowley.com","","1","1"
"cmtlyf59l00d4qf5kji99ofjs","Damart","DAMART","UNKNOWN","damart.fr","","3","4"
"cmtp20pmn06rsqq4z8vcw2c3y","Damiani","DAMIANI","UNKNOWN","damianigroup.com","","28","28"
"cmtkdvvs91s72nf2biv8j9ngh","DANIEL FÉAU CONSEIL IMMOBILIER","DANIEL_FEAU_CONSEIL_IMMOBILIER","UNKNOWN","","","0","0"
"cmtkdw0421tf8nf2bolc7zbpd","DARJEELING","DARJEELING","UNKNOWN","darjeeling.fr","Groupe Chantelle","15","18"
"cmtm9jl8x1vt3pv5jnt5xp4ry","Darphin Paris","DARPHIN_PARIS","UNKNOWN","darphin.com","","4","4"
"cmtk1ylsa0480nv2b4opry0mr","De Beers London","DE_BEERS_LONDON","UNKNOWN","debeers.com","","115","138"
"cmtkdvwfb1sdxnf2bbn7x3fcw","DE BONNE FACTURE","DE_BONNE_FACTURE","UNKNOWN","","","0","0"
"cmtjwfi2008qco72bl5udoek1","Decathlon","DECATHLON","UNKNOWN","decathlon.com","","0","0"
"cmtm9jj1i1v9rpv5jqtul8ypw","DECIEM","DECIEM","UNKNOWN","deciem.com","Estee Lauder","12","12"
"cmtm77tpf0jjxpv5jje165a7u","DECJUBA","DECJUBA","UNKNOWN","decjuba.com.au","","150","151"
"cmtp330po14d2qq4zofyyqjx1","Deckers","DECKERS","UNKNOWN","deckers.com","","82","86"
"cmtkdw0rv1tm8nf2bb825qxri","DEELUXE","DEELUXE","UNKNOWN","deeluxe.fr","","1","1"
"cmtkdvuku1rqbnf2beqvrwzz5","DE GABOR PARIS","DE_GABOR_PARIS","UNKNOWN","","","0","1"
"cmtkdw27j1u1snf2b6k637kiw","DELAGE","DELAGE","UNKNOWN","delage-automobiles.com","","0","1"
