nom	site	bucket	detail
fête impériale	https://en.feteimperiale.fr/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
crafsto	https://crafsto.jp/	alive	200
d'urban	https://www.d-urban.com/	net-error	UND_ERR_SOCKET
havlíkova přírodní apotéka	https://havlikovaapoteka.cz/	alive	200
juste elles	https://juste-elles.com/	alive	200
composerx	https://composerx.com/	alive	200
e'mar	https://www.emaritaly.com/	alive	200
grandvision	https://www.grandvision.it/	alive	200
gardenia	https://www.gardeniacopenhagen.com/	alive	200
in the style	https://www.inthestyle.com/	alive	200
jeanerica	https://jeanerica.com/	alive	200
harvey norman	https://harveynorman.com.au/	alive	200
dranella	https://www.dranella.com/en-en	alive	200
cerruti 1881	https://www.cerruti.com/	alive	200
feel confident	https://feelconfident.com/	alive	200
limelife by alcone	http://www.limelifebyalcone.com/	alive	200
ina kent	https://www.inakent.com/	alive	200
familyshoes	https://www.familyshoes.com.tw/	alive	200
golden goose	https://www.goldengoose.com/	alive	200
dr.kong	https://www.dr-kong.com.hk/	alive	200
ego	https://ego.co.uk/	blocked	403
dick's sporting goods	https://www.dickssportinggoods.com/	http-dead	451
grainular	http://getgrainular.com/	alive	200
eva franco	http://www.evafranco.com/	alive	200
ermanno scervino	https://www.ermannoscervino.com/	alive	200
isleñas	https://lasislenas.com/	alive	200
ética	https://eticadenim.com/	http-dead	423
formless beauty	https://formlessbeauty.com/	alive	200
exoh	http://exoh.co/	alive	200
ez flow	http://ezflow.com/	alive	200
essen	https://essenthelabel.com/?oid=319&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
feben	https://feben.co/shop	dns-dead	no A/AAAA @1.1.1.1
everymood	https://everymood.com/	alive	200
firma schröder	https://www.schrodermodestoffen.nl/	alive	200
harvest label	https://www.harvestlabel.jp/	alive	200
farm rio	https://www.farmrio.com/	alive	200
elli	https://www.ellieclothing.com/	alive	200
f. hinds	https://www.fhinds.co.uk/	alive	200
daikokuya	http://www.mmjp.or.jp/daikokuya/	http-dead	404
hirume	https://www.hirume.jp/	alive	200
cotton candy	https://www.cottoncandy-fashion.de/	http-dead	402
jockey	https://jockey.eu/	alive	200
fin & vince	https://finandvince.com/	alive	200
heavy tools	https://www.heavytools.sk/	alive	200
gore® wear	https://www.gorewear.com/	alive	200
fate naturals	http://www.fatenaturals.com/	alive	200
gioseppo	https://www.gioseppo.com/	alive	200
fount society	https://www.fountsociety.com/	alive	200
forever care	https://forevercare.plus/	alive	200
éxito	https://www.exito.com/	alive	200
