maison	kind	config	board_name	jobs	sample_titles	sample_url	reason
Eternal Perfume Oils	lever	{"site":"eternal"}		4	Performance Team - Open Interest - NYC | Performance Team - Open Interest - SF | Performance Technician - Open Interest - NYC	https://jobs.lever.co/eternal/69e24776-7d20-4051-a03f-51a41aad53fa	no board name to compare
Eternal Leather Goods	lever	{"site":"eternal"}		4	Performance Team - Open Interest - NYC | Performance Team - Open Interest - SF | Performance Technician - Open Interest - NYC	https://jobs.lever.co/eternal/69e24776-7d20-4051-a03f-51a41aad53fa	no board name to compare
Farfetch	lever	{"site":"farfetch"}		61	Associate Account Manager | Associate Project Manager - Privacy | B2B Operations Specialist	https://jobs.lever.co/farfetch/054a48bf-03d9-4a8e-9c54-d3895efeb4e4	no board name to compare
Filippa K	teamtailor	{"origin":"https://filippak.teamtailor.com"}		5	Senior Product Developer – Heavy Wovens (parental leave cover) | CLIENT ADVISOR FILIPPA K Stockholm | CLIENT ADVISOR FILIPPA K Amsterdam	https://filippak.teamtailor.com/jobs/8285869-senior-product-developer-heavy-wovens-parental-leave-cover	no board name to compare
Hemmerle	personio	{"subdomain":"hemmerle","host":"hemmerle.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://hemmerle.jobs.personio.de/job/1034119	no board name to compare
Hoff	personio	{"subdomain":"hoff","host":"hoff.jobs.personio.de"}		2	Social Media Stagiair | Speculatieve toepassing	https://hoff.jobs.personio.de/job/2713366	no board name to compare
Codex Labs Corporation	personio	{"subdomain":"codex","host":"codex.jobs.personio.de"}		1	Senior Executive Assistant	https://codex.jobs.personio.de/job/2608804	no board name to compare
Codex Labs	personio	{"subdomain":"codex","host":"codex.jobs.personio.de"}		1	Senior Executive Assistant	https://codex.jobs.personio.de/job/2608804	no board name to compare
Jaguar Watches	personio	{"subdomain":"jaguar","host":"jaguar.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://jaguar.jobs.personio.de/job/1792527	no board name to compare
COSMOS COMFORT	personio	{"subdomain":"cosmos","host":"cosmos.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://cosmos.jobs.personio.de/job/2446196	no board name to compare
Johnson	personio	{"subdomain":"johnson","host":"johnson.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://johnson.jobs.personio.de/job/1328955	no board name to compare
Johnson Fitness & Wellness	personio	{"subdomain":"johnson","host":"johnson.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://johnson.jobs.personio.de/job/1328955	no board name to compare
Johnson's Baby	personio	{"subdomain":"johnson","host":"johnson.jobs.personio.de"}		3	Initiativbewerbung (Festanstellung) | SEO Marketing Manager | Social Media (Werkstudent)	https://johnson.jobs.personio.de/job/1328955	no board name to compare
Jonathan Cohen	personio	{"subdomain":"jonathan","host":"jonathan.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://jonathan.jobs.personio.de/job/1781672	no board name to compare
