name,canonical_slug,segment,group,source,confidence
Dunhill,dunhill,FASHION,Richemont,https://www.richemont.com/en/home/brands/,HIGH
Eau Thermale Avene,eau-thermale-avene,BEAUTY,Pierre Fabre,https://www.pierre-fabre.com/fr-fr/notre-entreprise/nos-marques,HIGH
Editions de Parfums Frédéric Malle,editions-de-parfums-frederic-malle,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
EENK,eenk,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Egon Zehnder,egon-zehnder,RECRUITER,,https://www.egonzehnder.com/,LOW
EgonLab,egonlab,FASHION,,https://egonlab.com/,LOW
Element,element,FASHION,Groupe Beaumanoir,https://www.groupe-beaumanoir.com/brand-fr-sitemap.xml,HIGH
ELEMIS,elemis,BEAUTY,L'Occitane Group,https://group.loccitane.com/group/our-brands,HIGH
Elie Saab,elie-saab,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Emanuel Ungaro,emanuel-ungaro,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Embryolisse,embryolisse,BEAUTY,,https://embryolisse.com/,HIGH
Emilio Pucci,emilio-pucci,FASHION,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
Empreinte,empreinte,FASHION,,https://www.empreinte.eu/in/,HIGH
Eram,eram,RETAIL,Groupe Eram,https://www.groupe-eram.com/marques,HIGH
Erborian,erborian,BEAUTY,L'Occitane Group,https://group.loccitane.com/group/our-brands | https://www.erborian.com/,HIGH
Ercuis,ercuis,LUXURY,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Eres,eres,FASHION,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Escada Parfums,escada-parfums,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
Essential Parfums,essential-parfums,BEAUTY,,https://catwalks.io/sitemap-maisons.xml,HIGH
Essie,essie,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Estée Lauder,estee-lauder,BEAUTY,Estee Lauder,https://www.elcompanies.com/en/our-brands,HIGH
Ester Manas,ester-manas,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Etam,etam,FASHION,Groupe Etam,https://www.etam.com/,HIGH
Etro Parfums,etro-parfums,BEAUTY,Coty,https://www.coty.com/our-brands/all-brands,HIGH
Études Studio,etudes-studio,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Eucerin,eucerin,BEAUTY,Beiersdorf,https://www.beiersdorf.com/brands,HIGH
Ex Nihilo,ex-nihilo,BEAUTY,,https://catwalks.io/sitemap-maisons.xml,HIGH
Extime Duty Free Paris,extime-duty-free-paris,RETAIL,,https://catwalks.io/sitemap-maisons.xml,HIGH
Faïencerie de Gien,faiencerie-de-gien,LUXURY,,https://www.comitecolbert.com/member-sitemap.xml,HIGH
Fareva,fareva,SUPPLIER,,https://www.fareva.com,HIGH
Fashion Group,fashion-group,FASHION,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
FashionNetwork France,fashionnetwork-france,MEDIA_AGENCY,,https://fr.fashionnetwork.com/,LOW
Father & Sons,father-sons,FASHION,,https://www.fatherandsons.fr/,HIGH
Fendi,fendi,FASHION,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr | https://fhcm.paris/fr/maisons?status=1,HIGH
Fenty,fenty,BEAUTY,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
Fil Rouge,fil-rouge,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Filorga,filorga,BEAUTY,,https://int.filorga.com/,HIGH
Florentina Leitner,florentina-leitner,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
FLS,fls,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Foot Locker France,foot-locker-france,RETAIL,Foot Locker Inc.,https://www.footlocker.fr/,HIGH
Fragonard,fragonard,BEAUTY,,https://www.fragonard.com/,HIGH
FRAME,frame,FASHION,,https://catwalks.io/sitemap-maisons.xml,HIGH
France Inter Mode,france-inter-mode,SUPPLIER,,https://www.gff-groupement.fr/les-ateliers-engages/,HIGH
Francesco Smalto,francesco-smalto,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Franck Muller,franck-muller,JEWELRY_WATCHES,,https://franckmuller.com,HIGH
Franck Sorbier,franck-sorbier,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Franco Gioielli,franco-gioielli,JEWELRY_WATCHES,THOM Group,https://thomgroup.com/,HIGH
Fred,fred,JEWELRY_WATCHES,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
Fresh,fresh,BEAUTY,LVMH,api:https://www.lvmh.com/proxyApi/v1/jobhub/criteria?lang=fr,HIGH
Fringuant,fringuant,SUPPLIER,,https://www.defimode.org/directory-defimode_startups-innovantes/,HIGH
Fursac,fursac,FASHION,SMCP,https://www.smcp.com/fr/marques/,HIGH
G/FORE,g-fore,FASHION,Richemont,https://www.richemont.com/en/home/brands/,HIGH
Galeries Lafayette,galeries-lafayette,RETAIL,Galeries Lafayette Group,http://www.groupegalerieslafayette.com/brands,HIGH
Galeries Lafayette Group,galeries-lafayette-group,RETAIL,,http://www.groupegalerieslafayette.com/brands,HIGH
Galimard,galimard,BEAUTY,,https://www.galimard.com/,HIGH
Garnier,garnier,BEAUTY,L'Oreal,https://www.loreal.com/en/brands/,HIGH
Gas Bijoux,gas-bijoux,JEWELRY_WATCHES,,https://www.gasbijoux.com/fr,HIGH
Gauchere,gauchere,FASHION,,https://fhcm.paris/fr/maisons?status=1,HIGH
Gemo,gemo,RETAIL,Groupe Eram,https://www.groupe-eram.com/marques,HIGH
Georges Hobeika,georges-hobeika,FASHION,,https://fhcm.paris/fr/paris-fashion-week/maisons | https://fhcm.paris/fr/haute-couture-week/maisons | https://fhcm.paris/fr/haute-joaillerie/maisons,HIGH
Gerard Darel,gerard-darel,FASHION,,https://gerarddarel.com/fr-fr,LOW
