Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"Michael Kors (Lithuania) U",2,"RETAIL","",""
"Converse Korea",2,"RETAIL","",""
"Jimmy Choo (Shanghai) Trading Co.",2,"RETAIL","",""
"FRANCOISE",2,"FASHION","",""
"PROMOD - MAGASIN",2,"FASHION","",""
"TARA JARMON (GROUPE BRAND SISTERS)",1,"FASHION","",""
"FRENCH TEX",2,"FASHION","",""
"IRIDESCENCE BIJOUX",2,"JEWELRY_WATCHES","",""
"ARLETTIE PARIS",2,"FASHION","",""
"POIRAY INTERNATIONAL",1,"JEWELRY_WATCHES","",""
"MANGO  ITALIA S.r.l.",2,"FASHION","",""
"Swarovski Subotica DOO",2,"JEWELRY_WATCHES","",""
"Chico's Outlet",2,"RETAIL","",""
"MERCI",2,"FASHION","",""
"Knock Knock",2,"RETAIL","",""
"NIKE Global Trading",2,"RETAIL","",""
"Condé Nast Taiwan Publications",2,"RETAIL","",""
"CHIC AT WORK",2,"FASHION","",""
"Swarovski Ireland",2,"JEWELRY_WATCHES","",""
"Swarovski AG, Triesen, Zweigniederlassung Männedorf",2,"JEWELRY_WATCHES","",""
"LA BRUNE ET LA BLONDE",2,"FASHION","",""
"Coach Consulting Dongguan",2,"RETAIL","",""
"KUJTEN CACHEMIRE",2,"FASHION","",""
"THA- Levi Strauss (Thailand)",2,"RETAIL","",""
"MAILLE CREATION",2,"FASHION","",""
"NIKIN",2,"RETAIL","",""
"UNIQLO EUROPE LIMITED NETHERLANDS BRANCH",2,"FASHION","",""
"Tapestry (Cambodia) Company",2,"RETAIL","",""
"Saffron",2,"RETAIL","",""
"route one skin",2,"RETAIL","",""
"Sarenza Studio",2,"RETAIL","",""
"AXEL ARIGATO",2,"RETAIL","",""
"Coach Management (Shanghai)",2,"RETAIL","",""
"ASKET",2,"RETAIL","",""
"Les Ateliers Autrement",2,"RETAIL","",""
"Bloom",2,"RETAIL","",""
"MGI Luxury Trading",2,"FASHION","",""
"Fay",2,"RETAIL","",""
"Giga",2,"RETAIL","",""
"BELLA+CANVAS",2,"RETAIL","",""
"J",2,"RETAIL","",""
"DSW Kristall AG & Co KG",2,"RETAIL","",""
"PARADE",2,"FASHION","Groupe Eram",""
"MGS Distribution",2,"RETAIL","",""
"Hast",2,"RETAIL","",""
"Swarovski Manufacturing Vietnam",2,"JEWELRY_WATCHES","",""
"Kymono",2,"RETAIL","",""
"Tom Wood",2,"RETAIL","",""
"UNIQLO EUROPE LIMITED SWEDISH BRANCH",2,"FASHION","",""
"PROTOTEXTILE",2,"FASHION","",""
"LEBEURRE",2,"RETAIL","",""
"MADNETWORK",2,"RETAIL","",""
"Make My Lemonade",2,"RETAIL","",""
"ABSOLUT CASHMERE",1,"FASHION","",""
"LESAGE PARIS",1,"FASHION","",""
"MVO STUDIO",1,"FASHION","",""
"MIRA BELLEPARIS",1,"FASHION","",""
"SIGAL",1,"FASHION","",""
"ZAPA (GROUPE BRAND SISTERS)",1,"FASHION","",""
"JAMINI",1,"FASHION","",""
"Movado Group Deutchland",1,"RETAIL","",""
"CAMELEONS RH",1,"FASHION","",""
"DINH VAN PARIS",1,"JEWELRY_WATCHES","",""
"MANGO SINGAPORE GARMENTS PTE, LTD",1,"FASHION","",""
"LE GUILLOU HABILLEUR",1,"FASHION","",""
"BRUNELLO CUCINELLI (MACAU) FASHION",1,"FASHION","",""
"Jimmy Choo",1,"RETAIL","",""
"Jimmy Choo Florence",1,"RETAIL","",""
"Itachoo",1,"RETAIL","",""
"NIKE Retail Hungary",1,"RETAIL","",""
"New Balance Athletics",1,"RETAIL","",""
"WSN DEVELOPPEMENT",1,"FASHION","",""
"Kering Beaute",1,"LUXURY","",""
"58 FACETTES",1,"FASHION","",""
