nom	site	bucket	detail
re:sin	https://www.re-sin.com/	net-error	ENOTFOUND
meyba	https://www.meyba.com/en_GB/meyba-lifestyle.html	net-error	ENOTFOUND
toni lopez	https://tonilopezplata.com/	net-error	ENOTFOUND
sigikid	https://www.sigikid.de/	net-error	ENOTFOUND
tekkie town	https://tekkietown.co.za/	net-error	ENOTFOUND
sarni oro	https://www.sarnioro.it/	alive	200
saalt	https://saalt.com/	alive	200
ratio et motus	https://www.ratioetmotus.com/	net-error	ENOTFOUND
reistor	https://reistor.in/	net-error	ENOTFOUND
ponara	http://ponara.world/	net-error	ENOTFOUND
taïla	http://www.tailaskincare.com/	alive	200
salt & stone	https://www.saltandstone.com/	alive	200
salitaire	https://salitaire.com/	net-error	ENOTFOUND
soke	http://sokebeauty.com/	net-error	ENOTFOUND
rossi	https://rossi-fashion.com/	alive	200
schuback parfümerien	https://www.schuback-parfuemerien.de/	net-error	ENOTFOUND
scamp & dude	https://scampanddude.com/	alive	200
number (n)ine	https://n-nine.com/	net-error	ENOTFOUND
stephanie chehade	https://stephaniechehade.com.au/	alive	200
sepehr maghsoudi	https://sepehrmaghsoudi.com/	alive	200
pas normal studios	https://pasnormalstudios.com/	net-error	ENOTFOUND
santoni	https://www.santonishoes.com/it/	alive	200
nebbia	https://nebbia.fitness/	alive	200
sojanya	https://sojanya.com/	net-error	ENOTFOUND
pro 4	https://www.pro4.nl/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
rowan	https://forrowan.com/	net-error	ENOTFOUND
sunday routine	http://www.sundayroutineskin.com/	net-error	ENOTFOUND
shekou	https://shekouwoman.com/	net-error	ENOTFOUND
refan	https://www.refan.bg/	net-error	ENOTFOUND
sorin	https://sorin.design/	alive	200
the middle daughter	https://themiddledaughter.co.uk/	net-error	ENOTFOUND
simmi	http://www.simmishoes.com/	net-error	ENOTFOUND
simple plan	https://simpleplanskincare.com/	net-error	ENOTFOUND
rick owens	https://www.rickowens.eu/	alive	200
reykjavik raincoats	https://www.reykjavikraincoats.com/	net-error	ENOTFOUND
ternua workwear	https://www.ternuagroup.com/en/workwear/	net-error	ENOTFOUND
seductive	https://seductive-pants.com/	alive	200
rubicon	https://www.rubicon-fashion.de/	net-error	ENOTFOUND
shirtmaster	https://shirtmaster.com/	net-error	ENOTFOUND
senjo color gmbh	https://senjo-color.de/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
shop the flux	https://shoptheflux.com/	net-error	ENOTFOUND
sisters + seekers	https://www.sistersandseekers.com/	alive	200
roovia	https://roovia.com/	net-error	ENOTFOUND
psylo	https://psylofashion.com/	alive	200
sundara nails	https://sundaranails.com/	alive	200
sonela beauty	http://www.sonelabeauty.com/	alive	200
tsl	https://eshop.tslj.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
roberto geissini	https://www.robertogeissini.de/	net-error	ENOTFOUND
san marina	https://sanmarina.fr/	net-error	ENOTFOUND
solit!	https://solit-japan.com/	alive	200
solvaderm	https://www.solvadermstore.com/	net-error	ENOTFOUND
renzo costa	https://www.renzocosta.com/	net-error	ENOTFOUND
takedown sportswear	https://takedownshop.com/	alive	200
tag socks	https://tagsocks.com/	alive	200
the leather store	https://www.theleatherstoreuk.com/	net-error	ENOTFOUND
skechers	https://www.skechers.com/	net-error	ENOTFOUND
the golden secrets	https://www.thegoldensecrets.com/	net-error	ENOTFOUND
spa organica	http://www.spa-organica.com/	alive	200
robeez	https://robeez.com/	net-error	ENOTFOUND
studio jux	https://studiojux.com/	dns-flaky	timeout/servfail on both
sievin jalkine	https://www.sievi.com/	net-error	ENOTFOUND
simple mama company	https://www.simplemamaco.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
modepark röther	https://www.modepark.de/	net-error	ENOTFOUND
reserva	https://www.usereserva.com/	alive	200
s u l t a n	https://www.sultan.si/shoes	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
simmer clothing	http://simmerclothing.squarespace.com/	net-error	ENOTFOUND
sperry	https://www.sperry.com/	net-error	ENOTFOUND
september	https://www.septembertheline.com/	alive	200
styelle swim	https://www.styelleswim.com.au/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
pro optik	https://www.prooptik.de/	net-error	ENOTFOUND
smiths city	https://smithscity.co.nz/	alive	200
sydney brown	https://www.sydney-brown.com/	net-error	ENOTFOUND
smitten	https://www.smitten.de/	net-error	ENOTFOUND
skinbiosis plus	https://skinbiosisplus.com/	alive	200
timesie	https://timesie.com/	blocked	403
stoney creek	https://www.stoneycreek.co.nz/	alive	200
tbalance	https://www.tbalance.co.uk/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
ruhe	https://ruhestore.co.uk/	net-error	ENOTFOUND
runnings	https://www.runnings.com/	net-error	ENOTFOUND
sdress	https://sdress.com/	net-error	ENOTFOUND
sijo	https://sijohome.com/	alive	200
vatira	http://getvatira.com/	alive	200
shoesme	https://www.shoesme.nl/	blocked	403
thisisneverthat	https://thisisneverthat.com/	net-error	ENOTFOUND
ronda	http://www.ronda.ch/	alive	200
nourish organics	https://www.nourishorganic.com/	alive	200
spinster sisters co.	http://www.spinstersistersco.com/	net-error	ENOTFOUND
tati	https://www.tati.fr/	tls-error	CERT_HAS_EXPIRED
tomo & edie	https://tomoandedie.com/	alive	200
thebesttailor	https://www.thebesttailor.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
pig and hen	https://www.pigandhen.nl/	net-error	ENOTFOUND
the organic tshirt	https://www.theorganictshirt.com.au/	alive	200
shoe sensation	https://www.shoesensation.com/	net-error	ENOTFOUND
sanborns	https://www.sanborns.com.mx/	alive	200
sjolie	https://www.sjoliespraytan.com/	net-error	ENOTFOUND
rthvi	http://rthvi.com/	net-error	ENOTFOUND
sasta	https://sasta.fi/	net-error	ENOTFOUND
state & liberty clothing	https://stateandliberty.com/	net-error	ENOTFOUND
toscane	https://www.toscane-boutique.fr/	net-error	ENOTFOUND
sea ranch	https://www.searanch.dk/	alive	200
sabinna	https://www.sabinna.com/	alive	200
